,date,p,Np,Wp,Wi,Gp,Rs,Z_factor,Oil_FVF
0,1996,1950,360085,1845.0,0,23045000,64,0.7006382129436914,1.081087247326529
1,1997,1834,17230861,39236.0,0,1102775000,64,0.7021415856834664,1.081212697735514
2,1998,1681,38651717,97909.0,0,2473713000,64,0.708127059772047,1.0814046689751544
3,1999,1560,68957151,254876.0,0,4413261000,64,0.71636164391671,1.0815831858340594
4,2000,1473,95057167,297686.0,38824,6083661000,64,0.7242642863404738,1.081729687761897
5,2001,1353,124251053,673783.0,12197536,7952070000,64,0.7378502724495759,1.0819627158754745
6,2002,1287,154528553,1011278.0,25395003,9889832000,64,0.7465883129551746,1.0821094298305078
7,2003,1247,191899252,2253789.0,50762076,12281556000,64,0.7522933702311922,1.0822059165693079
8,2004,1239,229090690,3898144.0,83580287,14661809000,64,0.7534698646273243,1.082225962593364
9,2005,1231,265394171,5591112.0,115457824,16985232000,64,0.7546579050972649,1.0822462695454689
10,2006,1224,301951918,7856842.0,149585083,19324929000,64,0.755706813604529,1.0822642561990168
11,2007,1200,338308989,10786529.0,183013606,21651781000,64,0.759368277647546,1.0823275202037441
12,2008,1182,373580320,14711414.0,215140193,23909150000,64,0.7621790509117917,1.0823766567283386
13,2009,1138,405855680,18936798.0,242483501,25974775000,64,0.7692728321039033,1.0825033223793759
14,2010,1137,439503085,24703101.0,278488838,28128195000,64,0.7694376041934635,1.082506315258696
15,2011,1136,456513143,28519165.41,293748836,29219820584,64,0.7696025298057303,1.0825093134154662
